1	573088.0	4142497.0
2	573088.0	4142497.0
3	573088.0	4142497.0
4	573088.0	4142497.0
5	573088.0	4142497.0
6	573088.0	4142497.0
7	573088.0	4142497.0
8	573088.0	4142497.0
9	573088.0	4142497.0
10	573088.0	4142497.0
11	573088.0	4142497.0
12	573088.0	4142497.0
13	573088.0	4142497.0
14	573088.0	4142497.0
15	573080.0527272727	4142500.1227272726
16	573072.1054545455	4142503.2454545456
17	573064.1581818182	4142506.368181818
18	573056.2109090909	4142509.4909090907
19	573048.2636363637	4142512.6136363638
20	573040.3163636363	4142515.7363636363
21	573032.369090909	4142518.8590909094
22	573024.4218181818	4142521.981818182
23	573016.4745454545	4142525.1045454545
24	573008.5272727272	4142528.2272727275
25	573000.58	4142531.35
26	572994.0765217391	4142532.595652174
27	572987.5730434782	4142533.841304348
28	572981.0695652174	4142535.086956522
29	572974.5660869565	4142536.3326086956
30	572968.0626086956	4142537.5782608697
31	572961.5591304348	4142538.8239130434
32	572955.0556521739	4142540.0695652175
33	572948.552173913	4142541.3152173916
34	572942.0486956522	4142542.5608695652
35	572935.5452173913	4142543.8065217393
36	572929.0417391304	4142545.052173913
37	572922.5382608696	4142546.297826087
38	572916.0347826086	4142547.5434782607
39	572909.5313043478	4142548.789130435
40	572903.027826087	4142550.0347826085
41	572896.524347826	4142551.2804347826
42	572890.0208695652	4142552.5260869567
43	572883.5173913044	4142553.7717391304
44	572877.0139130434	4142555.0173913045
45	572870.5104347826	4142556.263043478
46	572864.0069565218	4142557.5086956522
47	572857.5034782608	4142558.754347826
48	572851.0	4142560.0
49	572851.0	4142560.0
50	572853.2611111111	4142567.3911111113
51	572855.5222222222	4142574.782222222
52	572857.7833333333	4142582.1733333333
53	572860.0444444445	4142589.5644444446
54	572862.3055555555	4142596.9555555554
55	572864.5666666667	4142604.3466666667
56	572866.8277777778	4142611.737777778
57	572869.0888888888	4142619.1288888888
58	572871.35	4142626.52
59	572872.8208333333	4142633.4766666666
60	572874.2916666666	4142640.4333333336
61	572875.7625	4142647.39
62	572877.2333333333	4142654.3466666667
63	572878.7041666666	4142661.303333333
64	572880.175	4142668.26
65	572881.6458333334	4142675.216666667
66	572883.1166666667	4142682.1733333333
67	572884.5875	4142689.13
68	572886.0583333333	4142696.086666667
69	572887.5291666667	4142703.0433333335
70	572889.0	4142710.0
71	572891.3992307693	4142718.230769231
72	572893.7984615385	4142726.4615384615
73	572896.1976923076	4142734.6923076925
74	572898.5969230769	4142742.923076923
75	572900.9961538462	4142751.153846154
76	572903.3953846154	4142759.3846153845
77	572905.7946153845	4142767.6153846155
78	572908.1938461538	4142775.846153846
79	572910.593076923	4142784.076923077
80	572912.9923076923	4142792.3076923075
81	572915.3915384614	4142800.5384615385
82	572917.7907692307	4142808.769230769
83	572920.19	4142817.0
84	572923.3515384615	4142824.133846154
85	572926.5130769231	4142831.267692308
86	572929.6746153845	4142838.4015384614
87	572932.8361538461	4142845.5353846154
88	572935.9976923077	4142852.6692307694
89	572939.1592307693	4142859.8030769234
90	572942.3207692307	4142866.936923077
91	572945.4823076923	4142874.070769231
92	572948.6438461539	4142881.204615385
93	572951.8053846154	4142888.338461539
94	572954.9669230769	4142895.4723076923
95	572958.1284615385	4142902.6061538463
96	572961.29	4142909.74
97	572956.6275000001	4142916.4775
98	572951.9650000001	4142923.215
99	572947.3025	4142929.9525
100	572942.64	4142936.69
101	572942.64	4142936.69
102	572942.64	4142936.69
103	572942.64	4142936.69
104	572942.64	4142936.69
105	572942.64	4142936.69
106	572942.64	4142936.69
107	572942.64	4142936.69
108	572934.6229032258	4142938.2622580645
109	572926.6058064516	4142939.834516129
110	572918.5887096775	4142941.4067741935
111	572910.5716129033	4142942.979032258
112	572902.5545161291	4142944.5512903226
113	572894.5374193549	4142946.123548387
114	572886.5203225807	4142947.6958064516
115	572878.5032258064	4142949.268064516
116	572870.4861290322	4142950.8403225807
117	572862.469032258	4142952.412580645
118	572854.4519354838	4142953.9848387097
119	572846.4348387097	4142955.557096774
120	572838.4177419355	4142957.1293548387
121	572830.4006451613	4142958.7016129033
122	572822.3835483871	4142960.273870968
123	572814.3664516129	4142961.8461290323
124	572806.3493548387	4142963.418387097
125	572798.3322580645	4142964.9906451614
126	572790.3151612903	4142966.562903226
127	572782.2980645162	4142968.1351612904
128	572774.280967742	4142969.707419355
129	572766.2638709678	4142971.2796774195
130	572758.2467741936	4142972.851935484
131	572750.2296774193	4142974.4241935485
132	572742.2125806451	4142975.996451613
133	572734.1954838709	4142977.5687096776
134	572726.1783870967	4142979.140967742
135	572718.1612903225	4142980.7132258066
136	572710.1441935484	4142982.285483871
137	572702.1270967742	4142983.8577419356
138	572694.11	4142985.43
139	572694.0599999999	4142978.425882353
140	572694.01	4142971.421764706
141	572693.96	4142964.417647059
142	572693.91	4142957.413529412
143	572693.86	4142950.4094117647
144	572693.8099999999	4142943.4052941175
145	572693.76	4142936.401176471
146	572693.71	4142929.3970588236
147	572693.66	4142922.3929411764
148	572693.61	4142915.3888235292
149	572693.56	4142908.3847058825
150	572693.51	4142901.3805882353
151	572693.46	4142894.376470588
152	572693.41	4142887.372352941
153	572693.36	4142880.3682352942
154	572693.31	4142873.364117647
155	572693.26	4142866.36
156	572694.5700000001	4142869.3
157	572695.88	4142872.24
158	572700.9075	4142872.6412500003
159	572705.935	4142873.0425000004
160	572710.9625	4142873.44375
161	572715.99	4142873.845
162	572721.0175	4142874.2462500003
163	572726.0449999999	4142874.6475
164	572731.0725	4142875.04875
165	572736.1	4142875.45
